"","text","lang","possibly_sensitive","author_id","reply_settings","created_at.x","conversation_id","id","in_reply_to_user_id","profile_image_url","verified","location","url","protected","username","description","created_at.y","name","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","geo_place_id","text_with_display_links"
"144","RT @carlmarksWUSF: New on @wusf: How the pandemic has taken a tool on teens' mental health, what schools across Tampa Bay are planning for…","en",FALSE,"730963068","everyone",2021-04-19 12:44:39,"1384125792439857152","1384125792439857152",NA,"https://pbs.twimg.com/profile_images/1101507802181365765/dw5MfqNI_normal.jpg",TRUE,"Palm Harbor, FL",NA,FALSE,"wusfschreiner","Asst. News Director / Intern Coordinator, WUSF 89.7 FM.
Enjoys wine & a good IPA, good friends and great writing.","2012-08-01T16:09:25.000Z","Mark Schreiner",NA,1,0,0,0,0,1586,2869,20505,57,NA,"New on @wusf: How the pandemic has taken a tool on teens' mental health, what schools across Tampa Bay are planning for the fall semester, and elevated levels of blue-green algae found in waters near Piney Point. And how you can support our journalism. https://t.co/fplGNB0ehO"
"145","The @FLDEPNews reported late Friday that varying levels of cyanotoxins have been identified in water samples in Tampa Bay, increasing chances that the discharge at Piney Point will trigger a blue-green algae bloom.
. https   news wjct org post heightened blue green algae levels found waters near piney point","en",FALSE,"288433220","everyone",2021-04-19 16:31:42,"1384182933947224077","1384182933947224077",NA,"https://pbs.twimg.com/profile_images/1285641607077859328/yc3CLrXG_normal.png",FALSE,"Jacksonville, FL","https://t.co/xdBMbWe9Fm",FALSE,"WJCTNews","WJCT News from @WJCTJax Public Media in NE Florida/SE Georgia. On 💻https://t.co/sJx7Cr64U0, 📱 WJCT app, 📻 WJCT News 89.9 & streaming on all major platforms","2011-04-26T21:03:01.000Z","WJCT News",NA,0,0,0,1,0,14216,364,21319,329,NA,"The @FLDEPNews reported late Friday that varying levels of cyanotoxins have been identified in water samples in Tampa Bay, increasing chances that the discharge at Piney Point will trigger a blue-green algae bloom.
https://t.co/OqUZPXUL1j"
"146","@MiamiHerald Vote for #DeSantis? 
#Florida is reaping what you've sown: #RedTide #PineyPoint #BlueGreenAlgae #SugarToads-- 
#VoteBlue2022 #Florida #Everglades #SouthFlorida #TampaBay #Orlando #Jacksonville. ","en",FALSE,"797631672363679745","everyone",2021-04-23 01:19:14,"1385399542854660097","1385402853351596035","14085040","https://pbs.twimg.com/profile_images/807194312480014336/0Pv3PGNP_normal.jpg",FALSE,NA,NA,FALSE,"Shimha18","Russia is a terrorist state and should be Tweeted as such.
#StandWithUkraine️ #StandUpForUkraine #USA #EU","2016-11-13T02:46:24.000Z","David Feld","1604673175216074752",0,0,3,0,0,540,3007,47976,2,NA,"@MiamiHerald Vote for #DeSantis? 
#Florida is reaping what you've sown: #RedTide #PineyPoint #BlueGreenAlgae #SugarToads-- 
#VoteBlue2022 #Florida #Everglades #SouthFlorida #TampaBay #Orlando #Jacksonville"
"147","Stay Our Of The Water: Republican Voters in #Florida reward polluters...#RedTide #Cyanobacteria #BlueGreenAlgae...#DeSantis 
#Tampa #FortMyers #Miami #FortLauderdale . https   twitter com FLPhoenixNews status 1387727347881857026","en",FALSE,"797631672363679745","everyone",2021-04-30 02:00:26,"1387949935992082432","1387949935992082432",NA,"https://pbs.twimg.com/profile_images/807194312480014336/0Pv3PGNP_normal.jpg",FALSE,NA,NA,FALSE,"Shimha18","Russia is a terrorist state and should be Tweeted as such.
#StandWithUkraine️ #StandUpForUkraine #USA #EU","2016-11-13T02:46:24.000Z","David Feld","1604673175216074752",0,0,0,0,0,540,3007,47976,2,NA,"Stay Our Of The Water: Republican Voters in #Florida reward polluters...#RedTide #Cyanobacteria #BlueGreenAlgae...#DeSantis 
#Tampa #FortMyers #Miami #FortLauderdale https://t.co/k7EKF32r9T"
"148","Stay Out of the Water, #Florida Faces another Summer of Slime. You can thank #DeSantis and a Do-Nothing #Republican Legislature. #RedTide #PineyPoint #BlueGreenAlgae 
#Tampa #Miami #Disney #Orlando #FortLauderdale #PanamaCity #Jacksonville
. https   www floridaphoenix com 2021 04 29 is fl facing another summer of slime thank gov desantis and do nothing legislature","en",FALSE,"797631672363679745","everyone",2021-04-30 13:15:53,"1388119918407688199","1388119918407688199",NA,"https://pbs.twimg.com/profile_images/807194312480014336/0Pv3PGNP_normal.jpg",FALSE,NA,NA,FALSE,"Shimha18","Russia is a terrorist state and should be Tweeted as such.
#StandWithUkraine️ #StandUpForUkraine #USA #EU","2016-11-13T02:46:24.000Z","David Feld","1604673175216074752",0,0,0,1,0,540,3007,47976,2,NA,"Stay Out of the Water, #Florida Faces another Summer of Slime. You can thank #DeSantis and a Do-Nothing #Republican Legislature. #RedTide #PineyPoint #BlueGreenAlgae 
#Tampa #Miami #Disney #Orlando #FortLauderdale #PanamaCity #Jacksonville
https://t.co/alw2yenF3F"
"149","@lmower3 @GrayRohrer .#Desantis and his #Republican legislature places a higher value on #VoterSuppression than they do on people's health.  #RedTide #PineyPoint #COVID19 #BlueGreenAlgae #EverGlades #SugarToads #ClimateCrisis #Miami #Orlando #FortLauderdale #TampaBay #Jacksonville #Florida. ","en",FALSE,"797631672363679745","everyone",2021-04-30 13:54:18,"1388118356511842304","1388129588841123841","275653762","https://pbs.twimg.com/profile_images/807194312480014336/0Pv3PGNP_normal.jpg",FALSE,NA,NA,FALSE,"Shimha18","Russia is a terrorist state and should be Tweeted as such.
#StandWithUkraine️ #StandUpForUkraine #USA #EU","2016-11-13T02:46:24.000Z","David Feld","1604673175216074752",0,1,4,0,0,540,3007,47976,2,NA,"@lmower3 @GrayRohrer .#Desantis and his #Republican legislature places a higher value on #VoterSuppression than they do on people's health.  #RedTide #PineyPoint #COVID19 #BlueGreenAlgae #EverGlades #SugarToads #ClimateCrisis #Miami #Orlando #FortLauderdale #TampaBay #Jacksonville #Florida"
"150","@p_yelvington @jaxdotcom @GovRonDeSantis We’ve heard nothing about Piney Point since the original report came out. How much garbage has been dumped into Tampa Bay? When can we expect to see the red tide blue green algae swimming at Sanibel/Ft Myers beaches??. ","en",FALSE,"1269708859075186692","everyone",2021-05-02 22:20:28,"1388487117140021252","1388981742103584769","1177976120211320834","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",FALSE,NA,NA,FALSE,"CherylSeybert1","","2020-06-07T19:13:29.000Z","Cheryl Seybert",NA,0,1,1,1,0,65,154,5628,1,NA,"@p_yelvington @jaxdotcom @GovRonDeSantis We’ve heard nothing about Piney Point since the original report came out. How much garbage has been dumped into Tampa Bay? When can we expect to see the red tide blue green algae swimming at Sanibel/Ft Myers beaches??"
"151","RED TIDE UPDATE: Along with toxic red tide blooms, a nontoxic cyanobacteria that blooms annually in the Gulf of Mexico has also been reported in the past week or so. . https   news wgcu org 2021 05 10 red tide has now reached hillsborough as blooms persist in southwest florida","en",FALSE,"73450877","everyone",2021-05-10 14:24:42,"1391761116670267400","1391761116670267400",NA,"https://pbs.twimg.com/profile_images/1191408483263926272/xIuIYXJy_normal.jpg",TRUE,"Fort Myers, Florida","https://t.co/uJhqoXch0A",FALSE,"wgcu","Broadcasting Quality Television and Radio to Southwest Florida Southwest Florida’s @NPR station 📡 90.1 FM/91.7 FM Southwest Florida’s @PBS station 📺 HDTV 30.1","2009-09-11T18:36:50.000Z","WGCU Public Media",NA,1,0,3,0,0,4059,748,34117,297,NA,"RED TIDE UPDATE: Along with toxic red tide blooms, a nontoxic cyanobacteria that blooms annually in the Gulf of Mexico has also been reported in the past week or so. https://t.co/2GMxwktKNp"
"152","RT @wgcu: RED TIDE UPDATE: Along with toxic red tide blooms, a nontoxic cyanobacteria that blooms annually in the Gulf of Mexico has also b…","en",FALSE,"751811102175064065","everyone",2021-05-11 21:28:56,"1392230268044554247","1392230268044554247",NA,"https://pbs.twimg.com/profile_images/1451641664607604739/2ovGtuQJ_normal.jpg",FALSE,"Florida, USA",NA,FALSE,"calusawater","Proud member of Waterkeeper Alliance for #fishable #swimmable #drinkable #cleanwater","2016-07-09T16:11:49.000Z","Calusa Waterkeeper","1583643632804188160",1,0,0,0,0,2251,4966,44629,71,NA,"RED TIDE UPDATE: Along with toxic red tide blooms, a nontoxic cyanobacteria that blooms annually in the Gulf of Mexico has also been reported in the past week or so. https://t.co/2GMxwktKNp"
"153","South #Florida could be heading ... 

#AlgaeBlooms #AmyotrophicLateralSclerosis #BluegreenAlgae #Central #Herbert #HumanHealth #MarineBiology #Mexico #Miami #MortalityRates #Southern #Tampa #University #UniversityOfMiami #WaterManagement #WaterQuality . https   www miragenews com south florida could be heading toward another 564727. https   twitter com MirageNewsCom status 1395982595167449091 photo 1","en",FALSE,"3149729430","everyone",2021-05-22 05:59:21,"1395982595167449091","1395982595167449091",NA,"https://pbs.twimg.com/profile_images/1361136267589652480/q8Y_ikCG_normal.jpg",FALSE,"Australia","https://t.co/4fuKJ6AnNI",FALSE,"MirageNewsCom","It might sound like a mirage in the Australian media landscape, but https://t.co/Bqte5nekNL is a non-Murdoch, non-aligned, independent, real-time media platform","2015-04-11T13:00:06.000Z","Mirage News",NA,0,0,0,0,0,928,16,553893,54,NA,"South #Florida could be heading ... 
https://t.co/GMPI88YZvm
#AlgaeBlooms #AmyotrophicLateralSclerosis #BluegreenAlgae #Central #Herbert #HumanHealth #MarineBiology #Mexico #Miami #MortalityRates #Southern #Tampa #University #UniversityOfMiami #WaterManagement #WaterQuality https://t.co/aMaPdzB3y1"
